DEPT,ECGR,RD,DTCO,DTSM,RHOB,TNPH
4995,71.23870087,42.21640015,64.29199982,104.9488983,2.692899942,0.131773993
4995.5,64.39810181,24.70199966,62.64220047,104.9262009,2.656100035,0.157705009
4996,69.2614975,28.40970039,63.23829651,105.236702,2.682899952,0.147884995
4996.5,68.9611969,23.81909943,64.29660034,105.9788971,2.666599989,0.159980997
4997,65.41230011,24.40570068,61.79520035,104.0426025,2.693900108,0.159115002
4997.5,76.13780212,19.13999939,64.50050354,105.4744034,2.664800167,0.163230985
4998,65.71559906,30.31940079,62.44979858,105.9906921,2.645499945,0.154108003
4998.5,72.88339996,20.36969948,64.73410034,109.335701,2.663000107,0.166559994
4999,59.23120117,20.19190025,62.3105011,106.3547974,2.681299686,0.172203004
4999.5,70.85410309,18.5685997,64.33640289,111.8093033,2.679399967,0.159043998
5000,72.14810181,22.21940041,64.67790222,112.062706,2.681699991,0.165074006
5000.5,80.87689972,20.80890083,65.96990204,114.6826019,2.688899994,0.177280009
5001,85.02899933,20.77470017,66.66439819,113.1541977,2.684499979,0.180767
5001.5,67.6957016,14.07279968,62.4897995,107.0716019,2.669699907,0.216959
5002,84.56089783,20.18350029,65.57060242,112.1986008,2.684499979,0.176683992
5002.5,77.15270233,26.76989937,65.21289825,113.1890106,2.676500082,0.173456997
5003,78.6548996,16.65080071,66.31189728,113.6794968,2.67689991,0.197085992
5003.5,74.05789948,18.83609963,64.14330292,113.7797012,2.673700094,0.199918002
5004,80.16130066,16.31649971,66.40039825,114.5369034,2.693000078,0.202094987
5004.5,83.93720245,14.3053999,66.48600006,114.0046005,2.674999952,0.214719996
5005,79.48370361,15.5394001,64.91919708,112.1558991,2.678800106,0.211909011
5005.5,76.58180237,16.69930077,64.57910156,112.8373032,2.660300016,0.196823001
5006,91.03130341,16.52269936,66.51830292,112.1645966,2.690099955,0.200659007
5006.5,69.39550018,14.30000019,61.44850159,107.277298,2.661999941,0.198197991
5007,72.00180054,18.83040047,62.95769882,105.407402,2.741699934,0.167378008
